sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD53333d	20	80	41+	true	50337604	121.1015	99.0300	96.4100	91.8600	86.1600	79.9100	73.5000	67.0900	60.8100	54.7300	48.9200	43.4800	38.4500	33.8500	29.6900	25.9700
PD53333e	20	80	31+	true	50337604	86.8420	97.9300	92.1100	83.8900	74.9600	65.9900	57.3400	49.2400	41.8600	35.3100	29.5900	24.7000	20.5500	17.0900	14.2400	11.8700
PD53333f	20	80	41+	true	50337604	103.6919	98.8700	95.9100	90.6900	83.9100	76.4800	68.9200	61.5000	54.3100	47.4600	41.0600	35.2200	29.9700	25.3400	21.3200	17.8600
PD53334a	20	80	41+	true	50337604	97.1362	98.8900	95.6600	89.9900	82.8800	75.1800	67.4500	59.8200	52.4300	45.4600	39.0300	33.2500	28.1300	23.6600	19.8100	16.5400
PD53334b	20	80	41+	true	50337604	88.5420	98.8100	95.4400	89.2600	81.3100	72.7600	64.2400	56	48.1400	40.8800	34.3000	28.4700	23.4000	19.0700	15.4300	12.4200
PD53335a	20	80	41+	true	50337604	105.0618	98.3500	94.1600	87.8800	80.6200	72.9700	65.2800	58.0100	51.3600	45.4000	40.0800	35.3900	31.2300	27.5600	24.3000	21.4200
PD53335b	20	80	41+	true	50337604	87.3518	98.7200	95.4100	89.2100	81.1800	72.6100	64.0500	55.6700	47.6600	40.2100	33.5000	27.5900	22.4900	18.1400	14.5700	11.6100
PD53335c	20	80	21+	true	50337604	75.8375	97.1100	89.6900	79.6400	68.9300	58.7400	49.5500	41.6000	34.8500	29.1900	24.4300	20.4500	17.1200	14.3400	12.0200	10.0600
PD53335d	20	80	21+	true	50337604	70.2629	96.6800	88.4300	77.6400	66.3500	55.7200	46.3200	38.3200	31.6200	26.0300	21.4100	17.5900	14.4300	11.8200	9.6700	7.9000
PD53335e	20	80	31+	true	50337604	99.8004	98.3300	93.7600	87.1000	79.4900	71.4700	63.5700	56.1100	49.2900	43.1300	37.6700	32.8500	28.6400	24.9600	21.7500	18.9500
PD53336a	20	80	41+	true	50337604	104.7164	98.6200	95.1800	89.5900	82.6400	75.1800	67.6400	60.3200	53.3400	46.8500	40.9400	35.6100	30.8800	26.7100	23.0900	19.9600
PD53336c	20	80	41+	true	50337604	114.6798	98.6800	95.2600	89.9700	83.6000	76.7600	69.9300	63.2400	56.8400	50.8200	45.2200	40.1000	35.4700	31.3100	27.6000	24.3100
PD53336d	20	80	31+	true	50337604	98.9854	98.1500	93.4000	86.6200	78.9000	70.9700	63.2200	55.8400	48.9700	42.6900	37.0900	32.1200	27.7900	24.0200	20.7500	17.9600
PD53336e	20	80	41+	true	50337604	101.0204	98.4400	94.3200	87.9300	80.3100	72.3400	64.4800	57.0500	50.1300	43.8200	38.1600	33.1500	28.7200	24.8600	21.5100	18.6300
PD53336f	20	80	41+	true	50337604	98.6079	98.5800	94.8500	88.8600	81.6000	73.8500	66.0400	58.3900	51.1200	44.3900	38.2700	32.8500	28.0800	23.9400	20.3900	17.3600
PD53337a	20	80	51+	true	50337604	111.2084	99.2000	97.1900	93.2900	87.7600	81.2900	74.4900	67.6600	60.9600	54.4400	48.2000	42.3100	36.8600	31.9000	27.4300	23.4600
PD53337b	20	80	51+	true	50337604	108.1958	99.1500	97.0400	92.9500	87.1900	80.4800	73.5100	66.5700	59.7800	53.1900	46.8800	40.9400	35.4800	30.5300	26.1000	22.1600
PD53337c	20	80	41+	true	50337604	101.1116	98.9600	96.0700	90.9700	84.4100	77.2100	69.8600	62.5700	55.4500	48.5900	42.1700	36.2600	30.9400	26.2600	22.1900	18.6400
PD53338a	20	80	41+	true	50337604	97.0626	98.6900	95.2200	89.1500	81.6100	73.5600	65.4500	57.5200	50	43.0600	36.7900	31.2500	26.4300	22.2800	18.7600	15.7900
PD53338b	20	80	41+	true	50337604	101.1913	99.0100	96.7400	92.2100	85.8500	78.6100	71.1500	63.7300	56.4900	49.4900	42.8600	36.7500	31.2400	26.3400	22.0400	18.3200
PD53339a	20	80	31+	true	50337604	85.1478	98.5300	94.9400	88.3000	79.6200	70.3200	61.2000	52.6200	44.7700	37.7200	31.4600	26.0200	21.3500	17.4200	14.1300	11.4000
PD53339b	20	80	51+	true	50337604	121.2061	99.2400	97.8300	94.9900	90.5500	84.9600	78.8400	72.5300	66.2500	60.0700	54.0400	48.2600	42.7900	37.6600	32.9400	28.6400
PD53340a	20	80	31+	true	50337604	87.5097	98.5600	94.2600	87.1900	78.6800	69.7600	61.0200	52.6300	44.8200	37.7400	31.4900	26.0700	21.4300	17.5400	14.3100	11.6400
PD53341a	20	80	31+	true	50337604	81.2605	98.3700	93.7900	85.9100	76.3200	66.4300	56.9800	48.2200	40.3100	33.3300	27.3100	22.2000	17.9600	14.4700	11.6300	9.3200
PD53341b	20	80	41+	true	50337604	105.3620	99.1400	96.8300	92.4500	86.4000	79.4800	72.3200	65.2300	58.3000	51.6000	45.2300	39.2600	33.7700	28.8600	24.5000	20.6600
PD53342a	20	80	41+	true	50337604	88.7136	98.6100	95.1100	88.6400	80.3300	71.4000	62.5700	54.1800	46.4100	39.4000	33.1600	27.6800	22.9800	18.9900	15.6200	12.8400
PD53342b	20	80	61+	true	50337604	131.8058	99.2800	98.0900	95.8200	92.2000	87.4300	81.9300	76.0700	70.1900	64.4000	58.7600	53.2900	48.0300	43.0200	38.3200	33.9400
PD53343a	20	80	41+	true	50337604	93.2475	98.5000	94.6700	88.4200	80.8100	72.7600	64.7700	57.0200	49.6600	42.8200	36.5700	30.9900	26.1000	21.8400	18.2100	15.1400
PD53343b	20	80	71+	true	50337604	147.4170	99.4400	98.5000	96.6400	93.6700	89.7500	85.2100	80.3700	75.4000	70.3700	65.3200	60.2900	55.3200	50.4500	45.7800	41.3000
PD53343c	20	80	51+	true	50337604	114.6027	98.9700	96.6500	92.5500	87.0100	80.6700	74.0500	67.4000	60.9200	54.6700	48.7400	43.1900	38.0400	33.3300	29.0600	25.2200
PD53343d	20	80	51+	true	50337604	119.5478	99.0100	96.7400	92.7500	87.3900	81.2400	74.7800	68.3200	62.0100	55.9400	50.1900	44.8000	39.7900	35.1800	31.0200	27.2700
PD53343e	20	80	41+	true	50337604	106.0592	98.7700	95.8000	90.6900	84.1500	76.8900	69.4900	62.2600	55.3600	48.9200	42.9700	37.5800	32.7200	28.4000	24.5700	21.2200
PD53343f	20	80	31+	true	50337604	75.7592	97.7100	91.6400	82.5100	72.2800	62.1800	52.7200	44.1300	36.5900	30.1100	24.6100	20.0400	16.2600	13.1600	10.6500	8.6100
PD53343g	20	80	31+	true	50337604	87.4469	98.3500	94.0500	87.0100	78.5000	69.6000	60.9400	52.7800	45.2300	38.4400	32.4600	27.2000	22.6900	18.8700	15.6300	12.9200
PD53343h	20	80	41+	true	50337604	96.5818	98.8300	95.7700	90.2900	83.3000	75.6600	67.8700	60.1300	52.7000	45.6600	39.1500	33.2800	28.0700	23.5100	19.6000	16.2900
PD53343i	20	80	51+	true	50337604	113.8696	99.0400	96.7900	92.7100	87.2200	80.9400	74.3700	67.7200	61.1700	54.7900	48.7200	43	37.7400	32.9600	28.6400	24.7700
PD53344a	20	80	31+	true	50337604	76.8939	97.3700	90.4400	80.6000	70.0900	59.9500	50.5300	42.0600	34.6900	28.3800	23.1300	18.8500	15.3800	12.5900	10.3700	8.6000
PD53344c	20	80	31+	true	50337604	97.4748	98.3000	93.6400	86.4000	77.9300	69.2300	60.8900	53.1700	46.2000	39.9600	34.4700	29.7000	25.5700	22.0300	18.9700	16.3600
PD53344d	20	80	11+	false	50337604	49.2607	93.2100	78.0800	61.6100	47.1300	35.4700	26.4700	19.6900	14.6400	10.9300	8.2400	6.2900	4.8800	3.8400	3.0800	2.5200
PD53344e	20	80	21+	true	50337604	74.9207	97.0600	89.3800	78.7700	67.6200	57.1200	47.8300	39.7400	32.8300	27.0600	22.2800	18.3300	15.1100	12.4800	10.3500	8.6200
PD53344f	20	80	41+	true	50337604	96.0412	98.8100	94.9200	88.4700	80.7800	72.7500	64.7400	56.9000	49.5200	42.6600	36.4900	31.0300	26.2600	22.1300	18.6200	15.6500
PD53345a	20	80	41+	true	50337604	111.5919	99.0600	96.6700	92.2500	86.1900	79.1800	71.9000	64.7300	57.7800	51.2000	45.0800	39.4800	34.3800	29.8100	25.7500	22.1500
PD53345b	20	80	61+	true	50337604	136.5118	99.4800	98.2000	95.6900	91.9700	87.3700	82.2900	76.9900	71.6400	66.2400	60.8700	55.5500	50.3700	45.4000	40.6600	36.1900
PD53346a	20	80	41+	true	50337604	90.7928	98.6700	95.2200	88.9600	81.0100	72.5100	64.0800	55.9700	48.3400	41.3500	35.0900	29.5400	24.6900	20.5300	17	14.0400
PD53346b	20	80	51+	true	50337604	105.6112	99.0500	97.0400	93.0700	87.2600	80.4200	73.2100	66.0700	59.0600	52.2400	45.7400	39.6700	34.0900	29.0700	24.6200	20.6900
PD53347a	20	80	31+	true	50337604	77.4952	97.2000	90.3400	80.7900	70.4800	60.5000	51.3100	43.1500	36.0900	30.0700	25.0100	20.7900	17.3000	14.3900	12.0100	10.0400
PD53347b	20	80	31+	true	50337604	83.8775	98.6100	94.6900	87.8100	79.4500	70.6700	61.8500	53.2100	45.0500	37.5400	30.8600	25.0800	20.1900	16.1200	12.7900	10.1100
PD53347c	20	80	31+	true	50337604	89.9764	98.4500	94.2600	87.2700	78.8900	70.1100	61.5000	53.3200	45.7900	39.0400	33.0800	27.9200	23.5000	19.7400	16.5500	13.8800
PD53348a	20	80	41+	true	50337604	94.1847	98.7700	95.1000	88.8700	81.3300	73.2600	65.1300	57.1500	49.5300	42.4700	36.1000	30.4400	25.5300	21.3300	17.7700	14.7900
PD53348b	20	80	51+	true	50337604	114.5796	99.2500	97.3300	93.6300	88.4300	82.3900	76	69.5500	63.1000	56.7700	50.6200	44.7300	39.2000	34.1100	29.5100	25.3600
PD53349a	20	80	31+	true	50337604	96.1855	98.3100	94.1300	87.5700	79.8800	71.8800	64.0100	56.4200	49.3000	42.7200	36.8000	31.5400	26.9400	22.9500	19.4800	16.5500
PD53349b	20	80	41+	true	50337604	101.4914	99.0700	96.3700	91.4200	85	77.9300	70.7200	63.4600	56.3100	49.4000	42.8700	36.8500	31.4000	26.5700	22.3200	18.6500
